DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2024-09-18,NIFTY,2024-09-19,Wednesday,13:05,25386.7,95.0,15:19,25364.3,90.7,EOD,25400,CE,,,,25470.5,25302.9,83.8,-1,4.300003
2024-09-18,NIFTY,2024-09-19,Wednesday,13:05,25386.7,116.9,13:40,25287.85,185.6,LOWER_BREACH,25400,PE,,,,25470.5,25302.9,83.8,-1,-68.700005
2024-09-18,NIFTY,2024-09-19,Wednesday,13:41,25287.85,109.55,13:51,25382.8,145.55,UPPER_BREACH,25300,CE,,,,25371.649999999998,25204.05,83.8,-1,-36.0
2024-09-18,NIFTY,2024-09-19,Wednesday,13:41,25287.85,128.05,15:19,25364.3,84.15,EOD,25300,PE,,,,25371.649999999998,25204.05,83.8,-1,43.9
2024-09-18,NIFTY,2024-09-19,Wednesday,13:52,25382.8,91.75,15:19,25364.3,90.7,EOD,25400,CE,,,,25466.6,25299.0,83.8,-1,1.050003
2024-09-18,NIFTY,2024-09-19,Wednesday,13:52,25382.8,119.5,15:19,25364.3,131.25,EOD,25400,PE,,,,25466.6,25299.0,83.8,-1,-11.75
2024-09-19,NIFTY,2024-09-19,Thursday,09:20,25549.65,59.7,15:19,25422.7,0.1,EOD,25550,CE,,,,25629.550000000003,25469.75,79.9,-1,59.600002
2024-09-19,NIFTY,2024-09-19,Thursday,09:20,25549.65,52.65,11:22,25463.7,82.2,LOWER_BREACH,25550,PE,,,,25629.550000000003,25469.75,79.9,-1,-29.549995
2024-09-19,NIFTY,2024-09-19,Thursday,11:23,25463.7,54.3,15:19,25422.7,0.15,EOD,25450,CE,,,,25543.600000000002,25383.8,79.9,-1,54.149998
2024-09-19,NIFTY,2024-09-19,Thursday,11:23,25463.7,27.0,13:49,25378.7,77.15,LOWER_BREACH,25450,PE,,,,25543.600000000002,25383.8,79.9,-1,-50.15
2024-09-19,NIFTY,2024-09-19,Thursday,13:50,25378.7,15.1,15:19,25422.7,12.4,EOD,25400,CE,,,,25458.600000000002,25298.8,79.9,-1,2.7000008
2024-09-19,NIFTY,2024-09-19,Thursday,13:50,25378.7,36.55,15:19,25422.7,0.05,EOD,25400,PE,,,,25458.600000000002,25298.8,79.9,-1,36.5
2024-09-20,NIFTY,2024-09-26,Friday,09:20,25493.15,157.75,09:56,25579.6,190.55,UPPER_BREACH,25500,CE,,,,25578.45,25407.850000000002,85.3,-1,-32.800003
2024-09-20,NIFTY,2024-09-26,Friday,09:20,25493.15,152.2,15:19,25805.1,66.35,EOD,25500,PE,,,,25578.45,25407.850000000002,85.3,-1,85.85
2024-09-20,NIFTY,2024-09-26,Friday,09:57,25579.6,134.2,10:40,25682.7,180.7,UPPER_BREACH,25600,CE,,,,25664.899999999998,25494.3,85.3,-1,-46.5
2024-09-20,NIFTY,2024-09-26,Friday,09:57,25579.6,158.9,15:19,25805.1,85.8,EOD,25600,PE,,,,25664.899999999998,25494.3,85.3,-1,73.09999
2024-09-20,NIFTY,2024-09-26,Friday,10:41,25682.7,124.35,12:47,25779.65,185.4,UPPER_BREACH,25700,CE,,,,25768.0,25597.4,85.3,-1,-61.049995
2024-09-20,NIFTY,2024-09-26,Friday,10:41,25682.7,170.85,15:19,25805.1,114.45,EOD,25700,PE,,,,25768.0,25597.4,85.3,-1,56.40001
2024-09-20,NIFTY,2024-09-26,Friday,12:48,25779.65,129.55,15:19,25805.1,115.45,EOD,25800,CE,,,,25864.95,25694.350000000002,85.3,-1,14.100006
2024-09-20,NIFTY,2024-09-26,Friday,12:48,25779.65,180.55,13:31,25662.5,216.0,LOWER_BREACH,25800,PE,,,,25864.95,25694.350000000002,85.3,-1,-35.449997
2024-09-20,NIFTY,2024-09-26,Friday,13:32,25662.5,158.4,15:19,25805.1,209.45,EOD,25650,CE,,,,25747.8,25577.2,85.3,-1,-51.050003
