Date,Strategy,LegID,OptionType,Strike,Expiry,DTE,SpotPrice,IntendedEntryTime,EntryTime,EntryPrice,EntryDelayed,EntryDelayMinutes,ExitTime,ExitPrice,ExitReason,SLPrice,Qty,PnL
2024-12-17,ITMStraddle,CE,CE,24500,2024-12-19,2,24592.7,09:20,2024-12-17 09:20:00+05:30,217.35000610351562,False,0,2024-12-17 15:15:00+05:30,68.30000305175781,TIME_EXIT,304.2900085449219,-1,149.0500030517578
2024-12-17,ITMStraddle,PE,PE,24700,2024-12-19,2,24592.7,09:20,2024-12-17 09:20:00+05:30,213.89999389648438,False,0,2024-12-17 10:20:00+05:30,314.75,SL_HIT,299.4599914550781,-1,-100.85000610351562
2024-12-18,ITMStraddle,CE,CE,24300,2024-12-19,1,24351.75,09:20,2024-12-18 09:20:00+05:30,135.60000610351562,False,0,2024-12-18 15:15:00+05:30,43.349998474121094,TIME_EXIT,189.8400115966797,-1,92.25000762939453
2024-12-18,ITMStraddle,PE,PE,24500,2024-12-19,1,24351.75,09:20,2024-12-18 09:20:00+05:30,226.64999389648438,False,0,2024-12-18 12:36:00+05:30,341.6000061035156,SL_HIT,317.30999755859375,-1,-114.95001220703125
2024-12-19,ITMStraddle,CE,CE,23800,2024-12-19,0,23911.35,09:20,2024-12-19 09:20:00+05:30,174.6999969482422,False,0,2024-12-19 15:15:00+05:30,149.60000610351562,TIME_EXIT,244.57998657226562,-1,25.099990844726562
2024-12-19,ITMStraddle,PE,PE,24000,2024-12-19,0,23911.35,09:20,2024-12-19 09:20:00+05:30,126.9000015258789,False,0,2024-12-19 15:15:00+05:30,50.099998474121094,TIME_EXIT,177.66000366210938,-1,76.80000305175781
2024-12-20,ITMStraddle,CE,CE,23800,2024-12-26,6,23924.35,09:20,2024-12-20 09:20:00+05:30,292.0,False,0,2024-12-20 15:15:00+05:30,102.19999694824219,TIME_EXIT,408.79998779296875,-1,189.8000030517578
2024-12-20,ITMStraddle,PE,PE,24000,2024-12-26,6,23924.35,09:20,2024-12-20 09:20:00+05:30,228.0,False,0,2024-12-20 10:08:00+05:30,319.79998779296875,SL_HIT,319.1999816894531,-1,-91.79998779296875
2024-12-23,ITMStraddle,CE,CE,23700,2024-12-26,3,23775.9,09:20,2024-12-23 09:20:00+05:30,196.85000610351562,False,0,2024-12-23 15:15:00+05:30,138.5500030517578,TIME_EXIT,275.5899963378906,-1,58.30000305175781
2024-12-23,ITMStraddle,PE,PE,23900,2024-12-26,3,23775.9,09:20,2024-12-23 09:20:00+05:30,200.89999389648438,False,0,2024-12-23 15:15:00+05:30,179.0500030517578,TIME_EXIT,281.2599792480469,-1,21.849990844726562
2024-12-24,ITMStraddle,CE,CE,23700,2024-12-26,2,23766.8,09:20,2024-12-24 09:20:00+05:30,121.3499984741211,False,0,2024-12-24 10:00:00+05:30,170.0,SL_HIT,169.88999938964844,-1,-48.650001525878906
