DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2022-07-05,NIFTY,2022-07-07,Tuesday,09:20,15931.45,50.85,15:20,15817.5,80.15,EOD,15750,PE,15763.464168934352,15763.464168934352,167.98583106564905,,15763.464168934352,167.98583106564905,-1,-29.300003
2022-07-06,NIFTY,2022-07-07,Wednesday,09:20,15859.1,17.2,15:20,16000.25,51.0,EOD,16050,CE,16029.453719029643,16029.453719029643,170.35371902964204,16029.453719029643,,170.35371902964204,-1,-33.8
2022-07-06,NIFTY,2022-07-07,Wednesday,09:20,15859.1,39.8,15:20,16000.25,12.15,EOD,15700,PE,15688.746280970357,15688.746280970357,170.35371902964204,,15688.746280970357,170.35371902964204,-1,27.65
2022-07-07,NIFTY,2022-07-07,Thursday,09:20,16114.2,4.7,15:20,16129.4,0.05,EOD,16300,CE,16285.811800556929,16285.811800556929,171.61180055692836,16285.811800556929,,171.61180055692836,-1,4.6499996
2022-07-07,NIFTY,2022-07-07,Thursday,09:20,16114.2,13.65,15:20,16129.4,0.05,EOD,15950,PE,15942.588199443073,15942.588199443073,171.61180055692836,,15942.588199443073,171.61180055692836,-1,13.599999
2022-07-08,NIFTY,2022-07-14,Friday,09:20,16209.6,64.3,15:20,16214.75,52.45,EOD,16400,CE,16381.805104918547,16381.805104918547,172.20510491854708,16381.805104918547,,172.20510491854708,-1,11.850002
2022-07-08,NIFTY,2022-07-14,Friday,09:20,16209.6,87.8,15:20,16214.75,71.7,EOD,16050,PE,16037.394895081454,16037.394895081454,172.20510491854708,,16037.394895081454,172.20510491854708,-1,16.100006
2022-07-11,NIFTY,2022-07-14,Monday,09:20,16160.25,44.1,15:20,16203.45,45.75,EOD,16350,CE,16331.941115474625,16331.941115474625,171.69111547462572,16331.941115474625,,171.69111547462572,-1,-1.6500015
2022-07-11,NIFTY,2022-07-14,Monday,09:20,16160.25,69.25,15:20,16203.45,44.15,EOD,16000,PE,15988.558884525375,15988.558884525375,171.69111547462572,,15988.558884525375,171.69111547462572,-1,25.099998
2022-07-12,NIFTY,2022-07-14,Tuesday,09:20,16124.55,33.65,15:20,16034.8,15.25,EOD,16300,CE,16294.503205853433,16294.503205853433,169.95320585343276,16294.503205853433,,169.95320585343276,-1,18.400002
