DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2023-01-27,NIFTY,2023-02-02,Friday,12:31,17584.8,202.15,15:19,17619.1,198.0,EOD,17600,CE,,,,17700,17500,100,-1,4.149994
2023-01-27,NIFTY,2023-02-02,Friday,12:31,17584.8,189.5,14:24,17494.45,238.6,LOWER_BREACH,17600,PE,,,,17700,17500,100,-1,-49.100006
2023-01-27,NIFTY,2023-02-02,Friday,14:25,17494.45,200.9,15:06,17603.35,248.1,UPPER_BREACH,17500,CE,,,,17600,17400,100,-1,-47.200012
2023-01-27,NIFTY,2023-02-02,Friday,14:25,17494.45,187.35,15:19,17619.1,122.8,EOD,17500,PE,,,,17600,17400,100,-1,64.55
2023-01-30,NIFTY,2023-02-02,Monday,09:20,17473.05,231.3,09:21,17551.65,285.25,UPPER_BREACH,17450,CE,,,,17550,17350,100,-1,-53.949997
2023-01-30,NIFTY,2023-02-02,Monday,09:20,17473.05,173.3,15:19,17658.2,79.0,EOD,17450,PE,,,,17550,17350,100,-1,94.3
2023-01-30,NIFTY,2023-02-02,Monday,09:22,17551.65,225.0,09:27,17653.6,277.15,UPPER_BREACH,17550,CE,,,,17650,17450,100,-1,-52.149994
2023-01-30,NIFTY,2023-02-02,Monday,09:22,17551.65,180.1,13:48,17446.15,199.6,LOWER_BREACH,17550,PE,,,,17650,17450,100,-1,-19.5
2023-01-30,NIFTY,2023-02-02,Monday,09:28,17653.6,215.95,15:19,17658.2,172.05,EOD,17650,CE,,,,17750,17550,100,-1,43.899994
2023-01-30,NIFTY,2023-02-02,Monday,09:28,17653.6,165.65,10:58,17548.9,212.85,LOWER_BREACH,17650,PE,,,,17750,17550,100,-1,-47.200012
2023-01-31,NIFTY,2023-02-02,Tuesday,09:20,17614.8,199.2,15:19,17684.45,227.3,EOD,17600,CE,,,,17700,17500,100,-1,-28.100006
2023-01-31,NIFTY,2023-02-02,Tuesday,09:20,17614.8,152.85,15:19,17684.45,91.7,EOD,17600,PE,,,,17700,17500,100,-1,61.15001
2023-02-01,NIFTY,2023-02-02,Wednesday,09:20,17766.0,157.5,12:24,17850.5,183.2,UPPER_BREACH,17750,CE,,,,17850,17650,100,-1,-25.699997
2023-02-01,NIFTY,2023-02-02,Wednesday,09:20,17766.0,127.25,14:17,17641.7,143.45,LOWER_BREACH,17750,PE,,,,17850,17650,100,-1,-16.199997
2023-02-01,NIFTY,2023-02-02,Wednesday,12:25,17850.5,121.5,12:53,17955.95,163.75,UPPER_BREACH,17850,CE,,,,17950,17750,100,-1,-42.25
2023-02-01,NIFTY,2023-02-02,Wednesday,12:25,17850.5,94.65,13:37,17748.75,134.8,LOWER_BREACH,17850,PE,,,,17950,17750,100,-1,-40.15
2023-02-01,NIFTY,2023-02-02,Wednesday,12:54,17955.95,100.1,15:19,17629.55,10.3,EOD,17950,CE,,,,18050,17850,100,-1,89.799995
2023-02-01,NIFTY,2023-02-02,Wednesday,12:54,17955.95,76.0,13:24,17841.25,132.15,LOWER_BREACH,17950,PE,,,,18050,17850,100,-1,-56.149994
2023-02-01,NIFTY,2023-02-02,Wednesday,14:18,17641.7,91.8,15:19,17629.55,76.05,EOD,17650,CE,,,,17750,17550,100,-1,15.75
2023-02-01,NIFTY,2023-02-02,Wednesday,14:18,17641.7,85.4,14:42,17546.85,136.55,LOWER_BREACH,17650,PE,,,,17750,17550,100,-1,-51.15
2023-02-01,NIFTY,2023-02-02,Wednesday,14:43,17546.85,96.0,15:08,17660.55,158.2,UPPER_BREACH,17550,CE,,,,17650,17450,100,-1,-62.199997
2023-02-01,NIFTY,2023-02-02,Wednesday,14:43,17546.85,79.3,14:46,17439.75,150.35,LOWER_BREACH,17550,PE,,,,17650,17450,100,-1,-71.05
2023-02-01,NIFTY,2023-02-02,Wednesday,14:47,17439.75,97.1,15:02,17580.55,161.4,UPPER_BREACH,17450,CE,,,,17550,17350,100,-1,-64.299995
